<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
American Customer Satisfaction Core Alpha ETF,ACSI,20260109,68.3302,68.3302,68.3302,68.3302,300
American Century Small Cap Value Insights ETF,ACSV,20260109,42.62,42.74,42.62,42.6684,300
Acme United Corp,ACU,20260109,42.08,43.21,42.05,42.41,5400
American Conservative Values ETF,ACVF,20260109,50.12,50.4,50.0509,50.31,3700
Advent Convertible Bond ETF,ACVT,20260109,27.12,27.13,27.0728,27.1128,400
Ishares Global Min Vol Factor ETF,ACWV,20260109,119.49,119.74,119.42,119.47,102700
Anfield Dynamic Fixed Income ETF,ADFI,20260109,8.57,8.6,8.57,8.6,15000
Smartetfs Asia Pacific Dividend Builder ETF,ADIV,20260109,18.3,18.75,18.2975,18.4834,13000
Aptus Drawdown Managed Equity ETF,ADME,20260109,51.92,52.21,51.92,52.11,3000
Adaptiv Select ETF,ADPV,20260109,45.08,45.41,45.02,45.2847,8500
Matthews Asia Dividend Active ETF,ADVE,20260109,40.31,40.5406,40.24,40.53,2300
Abrdn Emerging Markets Ex-China Fund Inc,AEF,20260109,7.22,7.39,7.22,7.37,315800
Anfield Enhanced Market ETF,AEMS,20260109,10.53,10.67,10.53,10.62,35700
Aeon Biopharma Inc,AEON,20260109,1.11,1.11,1.04,1.08,87500
Anfield U.S. Equity Sector Rotation ETF,AESR,20260109,17.4,17.53,17.37,17.46,16700
Bitwise Ethereum Strategy ETF,AETH,20260109,36.25,36.25,35.4852,35.4852,400
Anfield Universal Fixed Income ETF,AFIF,20260109,9.4402,9.45,9.43,9.447,52500
Allspring Broad Market Core Bond ETF,AFIX,20260109,25.19,25.19,25.16,25.1875,1100
Vaneck Africa Index ETF,AFK,20260109,27.71,27.71,27.35,27.36,52000
FT Active Factor Large Cap ETF,AFLG,20260109,39.89,40.13,39.8,40.07,38100
FT Active Factor Mid Cap ETF,AFMC,20260109,35.905,36.02,35.881,35.96,25300
T-Rex 2X Long Afrm Daily Target ETF,AFRU,20260109,17.91,18.05,17.08,17.6,12300
FT Active Factor Small Cap ETF,AFSM,20260109,34.0946,34.27,34.08,34.128,54300
US Aggregate Bond Ishares Core ETF,AGG,20260109,100.08,100.2697,99.97,100.16,9879900
Simplify Aggregate Bond Plus Credit ETF,AGGH,20260109,20.8,20.83,20.76,20.83,454900
Harbor Disciplined Bond ETF,AGGS,20260109,41.35,41.35,41.33,41.3495,1100
Wisdomtree Yield Enhd U.S. Agg Bond Fund,AGGY,20260109,44.05,44.18,44.02,44.15,299300
Abundia Global Impact Group Inc,AGIG,20260109,2.23,2.24,2.02,2.06,270200
Tidal Trust I Sofi Agentic AI ETF,AGIQ,20260109,23.62,23.64,23.5799,23.61,7300
Adaptive Growth Opportunities ETF,AGOX,20260109,29.81,30.12,29.6494,29.97,54300
Ultra Silver 2X ETF,AGQ,20260109,190.77,199.31,188.46,195.89,5846700
FT Active Global Quality Income ETF,AGQI,20260109,17.06,17.11,17.06,17.109,2300
Interest Rate Hedged U.S. Agg Bond ETF,AGRH,20260109,26.28,26.28,26.265,26.265,400
Allspring Lt Large Growth ETF,AGRW,20260109,30.27,30.44,30.27,30.414,600
Agency Bond Ishares ETF,AGZ,20260109,110.49,110.49,110.17,110.17,12300
American Beacon Ahl Trend ETF,AHLT,20260109,27.62,27.7,27.48,27.6638,90800
American Century Select High Yield ETF,AHYB,20260109,46.8466,46.85,46.83,46.8452,1600
AI and Big Data Bear -2X ETF Direxion,AIBD,20260109,7.54,7.6,7.39,7.43,46800
AI and Big Data Bull 2X ETF Direxion,AIBU,20260109,50.6,51.6068,50.5,51.4124,11000
Amplify AI Powered Equity ETF,AIEQ,20260109,45.58,45.98,45.58,45.8797,4900
Aim Immunotech Inc,AIM,20260109,1.4,1.4,1.26,1.29,156400
Allspring Income Plus ETF,AINP,20260109,25.3599,25.3599,25.34,25.3417,8600
Allianzim U.S. Equity Buffer100 Protection ETF,AIOO,20260109,25.755,25.7999,25.74,25.775,3600
Air Industries Group Inc,AIRI,20260109,3.31,3.4,3.27,3.32,63300
Vistashares Artificial Intelligence Supercycle E,AIS,20260109,39.98,40.57,39.7901,40.39,65700
Amplify Bloomberg AI Value Chain ETF,AIVC,20260109,70.44,70.5235,70.44,70.5235,400
Wisdomtree International Dividend Top 100 Fund,AIVI,20260109,52.3,52.54,52.3,52.413,2100
Wisdomtree U.S. Dividend Ex-Financials Fund,AIVL,20260109,117.16,117.758,117.16,117.758,1700
Yieldmax AI Option Income Strategy ETF,AIYY,20260109,17.42,17.76,17.32,17.54,49000
Innovator Equity Defined Protect ETF 2Yr Jan 202,AJAN,20260109,28,28,27.9496,27.9496,4700
Innovator Equity Defined Prot ETF 2 Yr To July 2,AJUL,20260109,29.185,29.185,29.15,29.185,500
Akre Focus ETF,AKRE,20260109,66.04,66.24,65.76,65.92,767000
Alger AI Enablers & Adopters ETF,ALAI,20260109,36.74,37.075,36.74,37.0088,56300
Allspring Lt Large Core ETF,ALRG,20260109,28.04,28.0977,28.0399,28.0977,300
Pacer Lunt Large Cap Alternator ETF,ALTL,20260109,43.71,44.25,43.71,44.2,9100
Roundhill Hedged Multi-Asset Income ETF,AMAX,20260109,8.01,8.06,7.9807,8.0424,3600
Ambow Education Holding Ltd ADR,AMBO,20260109,2.88,2.961,2.83,2.83,11800
Roundhill Amd Weeklypay ETF,AMDW,20260109,47.21,47.9863,46.72,46.87,116700
Yieldmax Amd Option Income Strategy ETF,AMDY,20260109,35.88,36.16,35.52,35.52,142400
Alerian MLP Index ETN,AMJB,20260109,30.28,30.68,30.28,30.61,38300
Alps Alerian MLP ETF,AMLP,20260109,47.66,48.1,47.66,48.03,1758300
Qraft Ai-Enhanced U.S. Large Cap Momentum ETF,AMOM,20260109,50,50.13,50,50.004,900
American Shared Hospital Services,AMS,20260109,2.17,2.1759,2.14,2.1759,8300
Etracs Alerian MLP Index ETN Series B,AMUB,20260109,19.2877,19.2877,19.2877,19.2877,0
Infracap MLP ETF,AMZA,20260109,40.43,40.48,39.9601,40.44,31200
Amaze Holdings Inc,AMZE,20260109,0.4,0.4488,0.38,0.4227,3153600
Kurv Yield Premium Amazon [Amzn] ETF,AMZP,20260109,29.79,29.96,29.5,29.96,19400
Roundhill Amzn Weeklypay ETF,AMZW,20260109,45.09,45.62,44.5477,45.54,41000
Yieldmax Amzn Option Income Strategy ETF,AMZY,20260109,13.61,13.7363,13.52,13.73,435600
MSCI Transformational Changes ETF,ANEW,20260109,51.2918,51.2918,51.12,51.1825,500
Aggressive Allocation Ishares Core ETF,AOA,20260109,90.88,91.47,90.88,91.41,102600
Innovator Equity Defined Protection ETF 2 Yr To,AOCT,20260109,26.5814,26.63,26.5814,26.6107,1300
Conservative Allocation Ishares Core ETF,AOK,20260109,40.58,40.66,40.54,40.62,149200
Moderate Allocation Ishares Core ETF,AOM,20260109,48.06,48.2561,48.06,48.23,215100
Growth Allocation Ishares Core ETF,AOR,20260109,65.72,66.08,65.72,66.01,406900
AEROTELESIS INC,AOTS.OB,20260109,24.95,25.0454,24.88,25.0454,3700
Activepassive Core Bond ETF,APCB,20260109,29.7,29.74,29.69,29.73,50000
Activepassive International Equity ETF,APIE,20260109,36.69,36.77,36.5337,36.68,66000
Allspring Core Plus ETF,APLU,20260109,25.01,25.0299,24.9901,25.0194,23200
Tradr 2X Long Apld Daily ETF,APLX,20260109,89.01,116.8672,83.24,113.63,921000
Yieldmax Aapl Option Income Strategy ETF,APLY,20260109,12.66,12.7,12.55,12.65,132100
Activepassive Intermediate Municipal Bond ETF,APMU,20260109,25.23,25.24,25.22,25.23,15600
Innovator Equity Defined Protection ETF 6 MO Apr,APOC,20260109,26.3191,26.3191,26.28,26.2862,7800
Aptus April Buffer ETF,APRB.OB,20260109,25.8102,25.8199,25.8102,25.8199,500
Innovator Premium Income 20 Barrier ETF Apr,APRH,20260109,24.69,24.755,24.69,24.7549,19800
Innovator Premium Income 30 Barrier ETF Apr,APRJ,20260109,24.64,24.68,24.6301,24.6798,4400
PGIM S&P 500 Buffer 12 ETF - April,APRP,20260109,29.83,29.83,29.83,29.83,2400
Allianzim U.S. Large Cap Buffer10 Apr ETF,APRT,20260109,41.79,41.8124,41.79,41.8002,500
Allianzim U.S. Large Cap Buffer20 Apr ETF,APRW,20260109,34.9696,34.9696,34.935,34.9448,30800
Trueshares Structured Outcome [Apr] ETF,APRZ,20260109,37.9785,37.9785,37.9785,37.9785,100
Alpha Pro Tech,APT,20260109,4.66,4.7498,4.58,4.66,16600
Activepassive U.S. Equity ETF,APUE,20260109,42.2319,42.55,42.1979,42.495,103300
Apimeds Pharmaceuticals US Inc,APUS,20260109,1.72,1.72,1.65,1.66,7100
FT Vest U.S. Max Buffer ETF - Apr,APXM,20260109,31.095,31.095,31.095,31.095,0
Aqe Core ETF,AQEC,20260109,26.3,26.42,26.3,26.4038,12200
Ishares MSCI Global Quality Factor ETF,AQLT,20260109,28.91,29.01,28.8,28.86,41500
Altshares Merger Arbitrage ETF,ARB,20260109,28.95,29.09,28.95,29.03,4000
Arrow Reserve Capital Management ETF,ARCM,20260109,100.15,100.205,100.15,100.205,100
Tradr 2X Long Achr Daily ETF,ARCX,20260109,49.8,50.1639,45.95,48.66,47200
Harbor Alphaedge Next Generation Reits ETF,AREA,20260109,18.7316,18.7316,18.7316,18.7316,100
The Arena Group Holdings Inc,AREN,20260109,4.18,4.4,4.14,4.3,104400
GX MSCI Argentina ETF,ARGT,20260109,94.02,94.49,93.37,94.47,190500
Ark 21Shares Bitcoin ETF,ARKB,20260109,30.04,30.53,29.79,29.95,2477000
Ark Fintech Innovation ETF,ARKF,20260109,49.3,49.49,48.48,48.94,187200
Ark Genomic Revolution ETF,ARKG,20260109,31.24,31.415,30.425,30.55,2466400
Ark Innovation ETF,ARKK,20260109,81.19,81.338,79.65,80.29,6782700
Ark Autonomous Tech & Robotics ETF,ARKQ,20260109,128.05,130.06,127.2,129.24,394700
Ark Diet Q4 Buffer ETF,ARKT,20260109,19.1539,19.295,19.135,19.235,900
Ark Next Generation Internet ETF,ARKW,20260109,150.05,150.29,147.5016,149.1,144300
Ark Space Exploration & Innovation ETF,ARKX,20260109,33.02,33.73,32.8967,33.44,1423100
Allianzim U.S. Equity Buffer15 Uncapped Apr ETF,ARLU,20260109,30.71,30.84,30.69,30.8144,8300
Arm Holdings Plc Adrhedged,ARMH,20260109,47.65,47.9297,47.6,47.9297,600
Aris Mining Corp,ARMN,20260109,17.21,17.42,16.64,16.66,1064400
Armata Pharmaceuticals Inc,ARMP,20260109,7.91,7.91,6.88,7.05,58400
T-Rex 2X Long Arm Daily Target ETF,ARMU,20260109,14.9,14.9,14.1314,14.64,11700
Roundhill Arm Weeklypay ETF,ARMW,20260109,27.98,27.98,26.84,27.53,13200
Inner Circle II Pmv Adaptive Risk Parity ETF,ARP,20260109,31.02,31.19,31.01,31.03,30900
Ishares Robotics and Artificial Intelligence ETF,ARTY,20260109,49.81,50.45,49.4701,50.35,382200
,ARWG,20260109,25.075,25.075,24.87,24.893,17200
Allspring Smid Core ETF,ASCE,20260109,28.14,28.22,27.93,28.19,9200
GX FTSE Southeast Asia ETF,ASEA,20260109,18.6,18.71,18.6,18.65,19400
Virtus Alphasimplex Global Macro ETF,ASGM,20260109,27.32,27.5552,27.32,27.5552,300
Xt Harvest CSI 300 China A-Shares ETF,ASHR,20260109,33.84,33.95,33.785,33.91,4047500
Xt Harvest CSI 500 China A-Shares Small Cap ETF,ASHS,20260109,41.81,41.96,41.695,41.935,40300
Matthews Pacific Tiger Active ETF,ASIA,20260109,35.81,35.905,35.72,35.905,3200
Allspring Special Large Value ETF,ASLV,20260109,28.83,28.9344,28.77,28.9344,1300
Avino Silver & Gold,ASM,20260109,6.13,6.39,6.085,6.25,3786800
Virtus Alphasimplex Managed Futures ETF,ASMF,20260109,24.59,24.63,24.5792,24.5792,2400
Asml Holding NV Adrhedged,ASMH,20260109,84.7999,86.7,84.7999,86.7,2800
Tradr 2X Long Asts Daily ETF,ASTX,20260109,60.72,74.8199,59.68,69.44,2757100
Atlasclear Holdings Inc,ATCH,20260109,0.273,0.2762,0.26,0.2692,3111400
,ATEST,20260109,25.02,25.02,25.02,25.02,180
,ATEST.C,20260109,25.01,25.01,25.01,25.01,200
,ATEST.G,20260109,25.01,25.01,25.01,25.01,150
Alger 35 ETF,ATFV,20260109,35.7,35.875,35.565,35.71,50600
Barclays Plus Select MLP ETN,ATMP,20260109,28.61,29.01,28.61,28.92,7200
Actinium Pharmaceuticals Inc,ATNM,20260109,1.43,1.47,1.37,1.39,61400
Arin Tactical Tail Risk ETF,ATTR,20260109,90.72,90.83,90.72,90.83,200
Global X Gold Miners ETF,AUAU,20260109,39,39.675,39,39.4402,8200
FT Vest U.S. Max Buffer ETF - Aug,AUGM,20260109,34.13,34.17,34.11,34.1399,15900
PGIM S&P 500 Buffer 12 ETF - August,AUGP,20260109,31.38,31.38,31.3648,31.3648,1500
Aim U.S. Large Cap Buffer10 Aug ETF,AUGT,20260109,35.92,35.9963,35.9,35.9963,5800
Allianzim U.S. Equity Buffer15 Uncapped Aug ETF,AUGU,20260109,29.79,29.92,29.79,29.8872,900
Aim U.S. Large Cap Buffer20 Aug ETF,AUGW,20260109,32.64,32.71,32.64,32.69,9200
Trueshares Structured Outcome [Aug] ETF,AUGZ,20260109,42.8816,42.8816,42.8816,42.8816,100
Tradr 2X Long Aur Daily ETF,AURU,20260109,16.32,16.53,15.5965,16.5029,6200
GX Adaptive U.S. Factor ETF,AUSF,20260109,47.67,47.95,47.62,47.84,80200
Allspring Ultra Short Municipal ETF,AUSM,20260109,25.13,25.13,25.13,25.13,100
Austin Gold Corp,AUST,20260109,1.68,1.7299,1.67,1.68,42600
Avantis International Equity ETF,AVDE,20260109,84.29,84.7,84.28,84.64,1089200
Avantis International Small Cap Equity ETF,AVDS,20260109,72.05,72.42,71.9601,72.33,129600
Avantis International Small Cap Value ETF,AVDV,20260109,96.8,97.33,96.63,97.19,1101000
Avantis Emerging Markets Small Cap Equity ETF,AVEE,20260109,63.46,63.71,63.39,63.67,37300
Avantis Emerging Markets Equity ETF,AVEM,20260109,79.6,80.058,79.445,79.98,2001800
Avantis Emerging Markets Value ETF,AVES,20260109,59.74,60.04,59.6577,60.04,33100
Avantis All Equity Markets ETF,AVGE,20260109,88.62,88.79,88.2095,88.76,51300
Avantis All Equity Markets Value ETF,AVGV,20260109,76.01,76.12,75.615,76.06,23600
Roundhill Avgo Weeklypay ETF,AVGW,20260109,45.51,47.19,45.1428,46.83,53900
Avantis Inflation Focused Equity ETF,AVIE,20260109,67.3414,67.3414,67.2885,67.2885,400
Avantis Core Fixed Income ETF,AVIG,20260109,42.01,42.0584,41.955,42.02,154200
Avantis International Large Cap Value ETF,AVIV,20260109,72.69,72.94,72.63,72.94,44500
Avantis U.S. Large Cap Equity ETF,AVLC,20260109,80.51,80.93,80.28,80.82,48400
Avantis U.S. Large Cap Value ETF,AVLV,20260109,78.79,79.24,78.55,79.15,470400
Avantis Moderate Allocation ETF,AVMA,20260109,67.615,67.8226,67.61,67.8226,3500
Avantis U.S. Mid Cap Equity ETF,AVMC,20260109,73.04,73.61,73.04,73.41,20400
Avantis Core Municipal Fixed Income ETF,AVMU,20260109,46.445,46.53,46.44,46.5164,5400
Avantis U.S. Mid Cap Value ETF,AVMV,20260109,74.38,74.53,74.016,74.19,19500
Avantis All International Markets Equity ETF,AVNM,20260109,75.36,75.6,75.19,75.56,33600
Avantis All International Markets Value ETF,AVNV,20260109,76.61,76.9,76.56,76.8692,63500
Avantis Real Estate ETF,AVRE,20260109,43.93,44.1295,43.91,43.99,54400
Avantis U.S Small Cap Equity ETF,AVSC,20260109,61.59,62.039,61.17,61.87,235500
Avantis Responsible International Equity ETF,AVSD,20260109,75.79,76.18,75.79,76.1578,7500
Avantis Responsible Emerging Markets ETF,AVSE,20260109,67.2263,67.3699,67.2263,67.3407,1400
Avantis Short-Term Fixed Income ETF,AVSF,20260109,47.085,47.1191,47.0602,47.09,19200
Avantis Responsible U.S. Equity ETF,AVSU,20260109,78.39,78.6795,78.39,78.55,3000
Avantis U.S. Equity ETF,AVUS,20260109,114.48,115.2,114.26,115.05,228500
Avantis U.S. Small Cap Value ETF,AVUV,20260109,107.55,108,106.3,107.33,1017900
Amplify Travel Tech ETF,AWAY,20260109,21.19,21.19,20.943,21.105,8700
Avalon Holdings Corp,AWX,20260109,2.63,2.78,2.63,2.674,4600
Axil Brands Inc,AXIL,20260109,7.15,7.44,6.0343,7.43,39200
T-Rex 2X Long Axon Daily Target ETF,AXUP,20260109,15.15,15.49,14.87,15.28,19100
Astrazeneca Plc Adrhedged,AZNH,20260109,56.32,56.38,56.0772,56.0772,1600
Aztlan Global Stock Selection Dm Smid ETF,AZTD,20260109,29.27,29.29,29.1932,29.1932,1400
Azitra Inc,AZTR,20260109,0.3053,0.3085,0.2835,0.29,464400
Taxable Municipal Bond Invesco ETF,BAB,20260109,27.2,27.4246,27.1601,27.29,162000
Yieldmax Baba Option Income Strategy,BABO,20260109,13.39,13.39,13.1341,13.33,48500
Roundhill Baba Weeklypay ETF,BABW,20260109,39.97,39.99,39.35,39.892,12200
Amplify Bitcoin Max Income Covered Call ETF,BAGY,20260109,38,38.69,38,38.0879,10500
Ishares A.I. Innovation and Tech Active ETF,BAI,20260109,33.73,34.435,33.67,34.33,1442600
Blackrock Advantage Large Cap Income ETF,BALI,20260109,31.89,32.12,31.88,32.05,286500
Innovator Defined Wealth Shield ETF,BALT,20260109,33.56,33.65,33.56,33.64,656100
Brookstone Active ETF,BAMA,20260109,34.21,34.39,34.21,34.37,3500
Brookstone Intermediate Bond Et,BAMB,20260109,26.35,26.38,26.35,26.3681,6000
Brookstone Dividend Stock ETF,BAMD,20260109,30.42,30.49,30.35,30.36,11500
Brookstone Growth Stock ETF,BAMG,20260109,40.62,40.66,40.44,40.62,16500
Brookstone Opportunities ETF,BAMO,20260109,32.87,33.015,32.87,33.01,3700
Brookstone Ultra-Short Bond ETF,BAMU,20260109,25.15,25.17,25.15,25.155,5000
Brookstone Value Stock ETF,BAMV,20260109,33.08,33.31,33.08,33.2783,14400
Brookstone Yield ETF,BAMY,20260109,27.96,27.9601,27.95,27.96,5500
Innovator U.S. Equity Buffer ETF Apr,BAPR,20260109,48.2528,48.3,48.2001,48.26,2900
Graniteshares Gold Trust,BAR,20260109,44.3,44.5,44.15,44.42,578600
Battalion Oil Corp,BATL,20260109,1.14,1.184,1.13,1.14,44000
Amplify Lithium & Battery Technology ETF,BATT,20260109,14.52,14.69,14.4,14.62,24900
Innovator U.S. Equity Buffer ETF Aug,BAUG,20260109,50.51,50.57,50.345,50.5319,3600
JPM Betabuilders U.S. Aggregate Bond ETF,BBAG,20260109,46.51,46.54,46.49,46.49,19100
JPM Betabuilders Developed Asia Pacific-Ex Japan,BBAX,20260109,57.01,57.24,56.9,57.24,302700
Bondbloxx BBB Rated 5-10 Year Corporate Bond,BBBI,20260109,52.1,52.17,52.04,52.14,157100
Bondbloxx BBB Rated 10+ Year Corporate Bond,BBBL,20260109,48.47,48.67,48.47,48.67,600
Bondbloxx BBB Rated 1-5 Year Corporate Bond,BBBS,20260109,51.5,51.5348,51.46,51.4753,132400
Virtus Lifesci Biotech Clinical Trials ETF,BBC,20260109,39.64,40.02,39.44,39.5529,12700
JPM Betabuilders Canada ETF,BBCA,20260109,93.89,94.359,93.68,94,304500
JPM Betabuilders USD Investment Corp Bond ETF,BBCB,20260109,45.9201,45.93,45.9201,45.93,800
JPM Betabuilders Emerging Markets Equity ETF,BBEM,20260109,66.14,66.48,66.07,66.3786,2900
JPM Betabuilders Europe ETF,BBEU,20260109,74.86,75.18,74.675,75.18,339500
Bbh Select Large Cap ETF,BBHL,20260109,16.5,16.62,16.5,16.619,6600
Bbh Select Mid Cap ETF,BBHM,20260109,11.66,11.7062,11.5784,11.7062,66200
JPM Betabuilders USD High Yield Corp Bond ETF,BBHY,20260109,46.69,46.76,46.69,46.745,50900
JPM Betabuilders U.S. Bond 3-10 Year ETF,BBIB,20260109,99.3619,99.3619,99.3619,99.3619,300
JPM Betabuilders International Equity ETF,BBIN,20260109,74.32,74.66,74.25,74.56,52300
JPM Betabuilders Japan ETF,BBJP,20260109,68.51,69.22,68.48,68.99,2182200
JPM Betabuilders U.S. Bond 20+ Year ETF,BBLB,20260109,82.18,82.9295,82.18,82.9295,100
Ea Bridgeway Blue Chip ETF,BBLU,20260109,15.36,15.43,15.3168,15.41,81800
JPM Betabuilders U.S. Mid Cap Equity ETF,BBMC,20260109,112.34,112.455,112.12,112.3068,14500
Virtus Lifesci Biotech Products ETF,BBP,20260109,81.6,82.1,80.81,80.82,5500
JPM Betabuilders MSCI U.S. REIT ETF,BBRE,20260109,94.03,94.53,93.96,94.01,9800
JPM Betabuilders U.S. Bond 1-3 Year ETF,BBSB,20260109,99.18,99.18,99.175,99.18,700
JPM Betabuilders U.S. Small Cap Equity ETF,BBSC,20260109,78.19,78.665,78.19,78.4511,1100
JPM Betabuilders U.S. Equity ETF,BBUS,20260109,124.87,125.6772,124.605,125.48,176700
GX Bitcoin Covered Call ETF,BCCC,20260109,18.7,18.83,18.6894,18.78,14000
All Commodity Longer Dated Strategy K-1 Free ETF,BCD,20260109,31.64,31.86,31.64,31.68,88000
Horizon Kinetics Blockchain Development ETF,BCDF,20260109,31.105,31.105,31.0425,31.0425,200
GMO Beyond China ETF,BCHI,20260109,31.28,31.3262,31.26,31.3262,900
Principal Exchange-Traded Funds Principal Focuse,BCHP,20260109,38.09,38.27,37.95,38.27,32100
All Commodity Strategy K-1 Free ETF,BCI,20260109,20.02,20.11,19.975,19.99,697800
Bancreek International Large Cap ETF,BCIL,20260109,28.33,28.42,28.3,28.4006,6000
Lifex 2030 Income Bucket ETF,BCKT,20260109,45.74,45.83,45.73,45.7801,2300
Grayscale Bitcoin Adopters ETF,BCOR,20260109,27.31,27.41,27.22,27.2442,6100
Bancreek U.S. Large Cap ETF,BCUS,20260109,32.88,33.05,32.88,33.01,6100
Bancroft Convertible Fund,BCV,20260109,22.64,23.14,22.64,23.1316,12200
Bancroft Fund Ltd,BCV-A,20260109,21.79,21.79,21.78,21.79,1700
,BCVpA,20260109,21.79,21.79,21.78,21.79,1522
Bluemonte Core Bond ETF,BDBT,20260109,25.45,25.49,25.45,25.49,93300
Etracs Quarterly Pay 1.5X Bdc ETN,BDCX,20260109,25.03,25.03,24.8,24.8303,2200
Etracs Bus Dev ETN Series B,BDCZ,20260109,17.0944,17.0944,17.0355,17.0355,1100
Innovator U.S. Equity Buffer ETF Dec,BDEC,20260109,49.91,50.195,49.91,50.17,8400
Aam Brentview Dividend Growth ETF,BDIV,20260109,23.2198,23.2495,23.2198,23.2495,200
,BDL,20260109,32,32,30.16,31.75,2900
Breakwave Dry Bulk Shipping ETF,BDRY,20260109,9.04,9.04,8.85,8.85,18300
Imgp Berkshire Dividend Growth ETF,BDVG,20260109,13.06,13.07,13.01,13.0199,10500
Advisorshares Hotel ETF,BEDZ,20260109,34.65,34.65,34.63,34.63,1300
Rareview 2X Bull Cryptocurrency & Precious Metal,BEGS,20260109,24.67,25.11,24.67,24.8661,3600
JPM Broad USD Emerging Markets Bond ETF,BEMB,20260109,53.95,53.96,53.9042,53.9042,1000
Horizon Landmark ETF,BENJ,20260109,51.93,51.94,51.93,51.935,7100
Microsectors Fang & Innovation -3X ETN,BERZ,20260109,2.78,2.83,2.61,2.62,1239400
Bastion Energy ETF,BESF,20260109,33.55,33.55,33.46,33.49,1300
Proshares Bitcoin & Ether EW Strategy ETF,BETE,20260109,47.65,48.23,47.1225,47.3252,4000
Proshares Bitcoin & Ether Mcap Weight ETF,BETH,20260109,52.7,53.285,52.5544,52.5882,3800
Roundhill Sports Betting & Igaming ETF,BETZ,20260109,20.74,20.75,20.51,20.52,9600
Tradr 2X Long BE Daily ETF,BEX,20260109,18.18,22.16,17.75,21.39,798300
FT Vest Bitcoin Strategy Floor15 ETF - Apr,BFAP,20260109,18.6272,18.6272,18.6272,18.6272,100
Innovator U.S. Equity Buffer ETF Feb,BFEB,20260109,49.09,49.26,49.06,49.2167,15000
Build Bond Innovation ETF,BFIX,20260109,25.3984,25.44,25.3984,25.44,600
FT Vest Bitcoin Strategy Floor15 ETF - Jul,BFJL,20260109,18.3185,18.3185,18.3185,18.3185,100
Bufferlabs US Equity Dynamic Buffer ETF,BFLB,20260109,51.52,51.64,51.473,51.5523,21300
FT Vest Bitcoin Strategy Floor15 ETF October,BFOC,20260109,18.4367,18.4367,18.4367,18.4367,100
,BFOR,20260109,85.55,85.8652,85.5374,85.6775,4400
Westwood Lbrty Global Equity ETF,BFRE,20260109,30.2396,30.2396,30.2396,30.2396,100
Innovator Equity Managed 100 Buffer ETF,BFRZ,20260109,26.9,27.025,26.9,26.99,41100
Bahl & Gaynor Dividend ETF,BGDV,20260109,27.96,28.105,27.96,28.0698,3900
Birks Group Inc,BGI,20260109,0.9,0.9042,0.88,0.89,38100
ETF Series Bahl & Gaynor Income Growth ETF,BGIG,20260109,32.65,32.72,32.64,32.65,20300
FT Vest Gold Strategy Quarterly Buffer ETF,BGLD,20260109,17.54,17.6,17.49,17.565,20300
