<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Alta Equipment Group Inc,ALT-A,20260109,25.37,25.64,25.37,25.64,300
Alta Equipment Group Inc,ALTG,20260109,5.91,5.98,5.7,5.8,212700
,ALTGpA,20260109,25.37,25.64,25.37,25.64,320
Alussa Energy Acquisition Corp. II [Alub.U],ALU.U,20260109,10.22,10.22,10.08,10.14,1000
,ALU.V,20260109,0.47,0.475,0.43,0.45,359400
Allurion Technologies WT [Alur/W],ALU.W,20260109,0.0268,0.0268,0.0268,0.0268,200
,ALUB,20260109,9.93,9.95,9.91,9.93,7700
Allurion Technologies Inc,ALUR,20260109,1.7,1.7668,1.65,1.68,39500
,ALUR.WS,20260109,0.0268,0.0268,0.0268,0.0268,100
Autoliv Inc,ALV,20260109,123.99,125.15,122.32,125.08,599400
,ALX,20260109,231.75,234.9799,226.12,228.75,60300
Antero Midstream Corp,AM,20260109,17.39,17.54,17.21,17.31,2020000
Ardagh Metal Packaging S.A.,AMBP,20260109,4.27,4.35,4.16,4.26,531300
Ambiq Micro Inc,AMBQ,20260109,32.5,33.7399,31.5,33.34,108200
AMC Entertainment Holdings,AMC,20260109,1.47,1.7,1.45,1.64,72240900
Amcor Plc,AMCR,20260109,8.66,8.685,8.57,8.65,15184600
Ametek Inc,AME,20260109,210.04,211.85,209.285,210.64,860900
Affiliated Managers Group,AMG,20260109,306.39,309.35,305.5,308.03,336200
American Homes 4 Rent,AMH,20260109,31.54,31.73,30.73,31.02,5868000
American Homes 4 Rent [Amh/Pg],AMH-G,20260109,22.88,23.1,22.88,22.9,10800
American Homes 4 Rent [Amh/Ph],AMH-H,20260109,23.82,23.82,23.68,23.8,11000
,AMHpG,20260109,22.88,23.1,22.88,22.9,9732
,AMHpH,20260109,23.82,23.82,23.68,23.8,9527
Amn Healthcare Services Inc,AMN,20260109,15.66,15.8,15.06,15.31,806200
Ameriprise Financial Services,AMP,20260109,504.32,510.32,501.09,507.76,430600
Amprius Technologies Inc [Ampx.W],AMP.V,20260109,3.3,3.4899,3.17,3.23,36400
Amprius Technologies Inc,AMPX,20260109,9.4,9.605,9.14,9.48,6277500
,AMPX.WS,20260109,3.29,3.4899,3.17,3.23,35365
Amplify Energy Corp,AMPY,20260109,4.6,4.62,4.51,4.59,493200
Alpha Metallurgical Resources Inc,AMR,20260109,231.93,247.53,229.95,242.32,467500
Ameresco Inc,AMRC,20260109,29.81,30.68,29.66,30.29,315200
Amrize Ltd,AMRZ,20260109,55.34,57.36,55.29,57.32,3168100
American Tower Corp,AMT,20260109,169.44,170.07,166.88,168.51,2360000
Mercantil Bank Holding Cl A,AMTB,20260109,20.85,21,20.175,20.35,250500
Amtd Idea Group,AMTD,20260109,1.05,1.05,1.02,1.03,25100
Amentum Holdings Inc,AMTM,20260109,32.59,33.78,32.59,33.63,2434600
American Well Corp Cl A,AMWL,20260109,5.23,5.28,5.1,5.17,24800
America Movil S.A.B. DE C.V. ADR,AMX,20260109,20.63,20.63,20.25,20.3,1276700
Autonation Inc,AN,20260109,216.26,218.26,213.14,216.38,276900
Andersen Group Inc. Class A Common Stock,ANDG,20260109,23.8,24.52,23.31,24.29,297800
Arista Networks Inc,ANET,20260109,124.57,124.83,121.9,122.89,8989600
Abercrombie & Fitch Company,ANF,20260109,130.15,133.11,124.1,124.87,1747800
American National Group Inc,ANG-D,20260109,25.09,25.13,24.9901,25.12,59800
,ANGpD,20260109,25.09,25.13,24.9901,25.07,40399
Angel Studios Inc Cl A,ANGX,20260109,4.18,4.27,4.06,4.21,507000
Alto Neuroscience Inc,ANRO,20260109,16.05,17.47,15.69,16.37,215200
Annovis Bio Inc,ANVS,20260109,3.97,4.017,3.66,3.67,397900
Aberdeen Total Dynamic Dividend Fund,AOD,20260109,9.87,9.97,9.87,9.97,484400
Angel Oak Mortgage REIT,AOMD,20260109,25.46,25.65,25.46,25.62,4300
Angel Oak Mortgage REIT 9.500%,AOMN,20260109,25.75,25.75,25.6,25.6001,3700
Angel Oak Mortgage REIT Inc,AOMR,20260109,8.72,8.96,8.72,8.9,108600
AON Plc,AON,20260109,351.4,353.36,350.12,350.8,678400
Artivion Inc,AORT,20260109,44.68,45.26,44.07,44.35,235900
Smith A.O. Corp,AOS,20260109,70.97,71.68,69.54,70.52,1478000
Ampco-Pittsburgh Corp,AP,20260109,5.46,5.6199,5.13,5.17,153300
Artisan Partners Asset Mgmt,APAM,20260109,43.69,44.38,43.32,44.32,396300
Air Products and Chemicals,APD,20260109,260.27,265.7,260.06,263.72,1505400
Api Group Corp,APG,20260109,40.55,41.93,40.37,41.87,3005300
Amphenol Corp,APH,20260109,136.26,140.49,135.915,140.16,5192000
Apple Hospitality REIT Inc,APLE,20260109,12.45,12.645,12.37,12.48,1987700
Apollo Asset Management Inc,APO,20260109,147.33,148.08,142.71,145.82,2348000
Apollo Global Management Inc,APO-A,20260109,76.21,76.21,74.76,75.9,306300
,APOpA,20260109,76.21,76.21,74.76,75.9,4441
Apollo Global Management 7.625%,APOS,20260109,26.32,26.4275,26.2,26.37,22600
Aptiv Plc,APTV,20260109,86.89,88.81,85.7,88.67,2515500
Algonquin Power & Util,AQN,20260109,6.27,6.4,6.245,6.39,6661500
Algonquin Power & Utilities Corp 6.20% Fixed-To,AQNB,20260109,25.6,25.6,25.54,25.55,12300
Antero Resources Corp,AR,20260109,32.09,32.325,31.26,31.38,8610300
Arcos Dorados Holdings Inc,ARCO,20260109,7.9,7.93,7.87,7.88,591500
Ares Dynamic Credit Allocation,ARDC,20260109,13.44,13.48,13.39,13.44,89600
Ardent Health Inc,ARDT,20260109,9.26,9.26,8.8,8.87,399500
Alexandria Real Estate Equities,ARE,20260109,53.5,54.24,52.94,53.97,3244700
Ares Management Corp Pfd B,ARE-B,20260109,53.55,54.28,53.55,53.92,49500
Ares Management LP,ARES,20260109,176.74,177.725,175.15,175.91,1234600
,ARESpB,20260109,53.55,54.28,53.55,53.92,4462
Apollo Commercial Real Estate,ARI,20260109,10.02,10.11,9.95,9.97,1143500
American Realty Investors,ARL,20260109,16.12,16.12,15.84,15.84,1500
Arlo Technologies Inc,ARLO,20260109,13.8,13.94,13.52,13.58,1401500
Aramark Holdings Corp,ARMK,20260109,38.77,39.04,38.37,38.93,1783900
Archrock Inc,AROC,20260109,26.13,26.395,25.575,25.75,1192200
Armour Residential R,ARR,20260109,18.2,18.545,18.07,18.1,6188800
Armour Residential REIT Inc 7% Prf Perpetual USD,ARR-C,20260109,21,21.055,20.98,20.98,21400
,ARRpC,20260109,21,21.055,20.99,21,20056
Arrow Electronics,ARW,20260109,113.65,115.67,111.22,114.99,494500
Accelerant Holdings Cl A,ARX,20260109,15.93,16.19,15.59,15.8,704700
Amer Sports Inc,AS,20260109,38.95,39.58,37.86,38.53,2592800
ASA Gold and Precious Metals,ASA,20260109,61.13,62.48,61.13,61.86,47100
Asana Inc Cl A,ASAN,20260109,13.31,13.38,12.79,12.96,2507900
Associated Banc-Corp,ASB,20260109,26.92,27.12,26.425,26.44,1832800
Associated Banc-Corp [Asb/Pe],ASB-E,20260109,21.3,21.4806,21.28,21.375,3800
Associated Banc-Corp [Asb/Pf],ASB-F,20260109,20.65,20.78,20.65,20.78,7400
Associated Banc-Corp 6.625%,ASBA,20260109,24.73,24.73,24.6,24.64,5300
,ASBpE,20260109,21.3,21.4806,21.28,21.375,3248
,ASBpF,20260109,20.65,20.78,20.65,20.78,5719
Ardmore Shipping Corp,ASC,20260109,11.75,11.78,11.4,11.68,660000
Liberty All-Star Growth Fund,ASG,20260109,5.45,5.48,5.435,5.46,125400
Aberdeen Standard Global Infrastructure,ASGI,20260109,21.3,21.6,21.3,21.52,194000
On Assignment,ASGN,20260109,50.6,51.525,49.78,51.21,416900
Ashland Inc,ASH,20260109,60.35,62.43,60.025,62.34,729100
Ategrity Specialty Insurance Company Holdings,ASIC,20260109,19.14,19.62,18.53,18.65,51200
Advansix Inc,ASIX,20260109,18.26,18.66,17.94,18.49,343200
Aspen Aerogels Inc,ASPN,20260109,3.31,3.355,3.19,3.3,1029400
Grupo Aeroportuario Del Sureste ADR,ASR,20260109,330.01,330.66,317.87,324,37000
Ase Industrial Holding Ltd ADR,ASX,20260109,17.61,17.78,17.4334,17.64,6558100
A10 Networks Inc,ATEN,20260109,17.3,17.41,17,17.23,695000
Adtalem Global Education Inc,ATGE,20260109,112.11,113.874,111.31,113.57,210900
Athene Holdings Ltd [Ath/Pa],ATH-A,20260109,24.85,24.9445,24.82,24.845,54100
Antah Hlds Ltd,ATH-B,20260109,20.05,20.3499,20.05,20.1,22400
Athene Holding Ltd,ATH-D,20260109,17.13,17.2,17.03,17.15,45200
Athene Hldg Ltd,ATH-E,20260109,25.68,25.76,25.63,25.73,32600
Autohome Inc ADR,ATHM,20260109,22.47,22.655,21.84,22.15,559700
,ATHpA,20260109,24.85,24.9445,24.82,24.845,32872
,ATHpB,20260109,20.05,20.3499,20.05,20.1,19044
,ATHpD,20260109,17.13,17.2,17.03,17.19,40022
,ATHpE,20260109,25.68,25.76,25.63,25.73,28929
Athene Holding Ltd 7.250%,ATHS,20260109,25.07,25.13,25.07,25.12,22100
Ati Inc,ATI,20260109,120.5,124.92,119.5,122.3,1103600
Atkore Inc,ATKR,20260109,68.23,68.825,66.725,67.4,269300
Atmus Filtration Technologies Inc,ATMU,20260109,54.5,55.04,53.84,54.75,459700
Atmos Energy Corp,ATO,20260109,167.2,168.62,166.39,166.78,713000
Aptargroup,ATR,20260109,122.08,124.965,121.46,123.85,429000
Ats Corp Cda,ATS,20260109,28.64,29,28.38,28.8,75000
Anglogold Ashanti Ltd ADR,AU,20260109,91.6,92.82,90.8199,92.25,1759500
Atlantic Union Bancshares Corp,AUB,20260109,37.57,37.81,37.05,37.44,870900
Atlantic Union Bankshares Corp Pfd A,AUB-A,20260109,24.4,24.5599,24.3201,24.37,22300
,AUBpA,20260109,24.4,24.5599,24.3201,24.36,20398
Auna Sa Cl A,AUNA,20260109,4.96,5,4.83,4.88,252300
Avista Corp,AVA,20260109,39.28,39.52,38.88,38.93,589800
Grupo Aval Acciones Y Valores S ADR,AVAL,20260109,4.15,4.198,4.14,4.17,87600
Avalonbay Communities,AVB,20260109,183.91,184.3,178.01,179.37,1145500
Avidia Bancorp Inc,AVBC,20260109,16.98,16.98,16.5147,16.82,41400
American Vanguard Corp,AVD,20260109,3.83,3.9,3.76,3.85,115200
Advent Claymore Convertible Securities,AVK,20260109,12.78,12.89,12.78,12.87,105500
Avanos Medical Inc,AVNS,20260109,12.28,12.38,11.87,12.35,575700
Avient Corp,AVNT,20260109,33.71,34.61,33.31,34.29,919700
Avantor Inc,AVTR,20260109,12.24,12.42,11.93,12.41,8264700
Avery Dennison Corp,AVY,20260109,185.86,188.93,184.98,188.4,794700
Alliancebernstein Global High Income Fund,AWF,20260109,10.68,10.695,10.65,10.69,252700
Armstrong World Industries Inc,AWI,20260109,197.44,201.075,197,200.51,277000
American Water Works,AWK,20260109,128.57,129.92,127.57,127.98,1467400
Abrdn Global Premier Properties Fund,AWP,20260109,3.89,3.92,3.89,3.89,343400
American States Water Company,AWR,20260109,73.04,73.355,72.5001,73.2,187600
Axos Financial Inc,AX,20260109,93.24,93.98,91.54,92.35,237900
Axia Energia ADR,AXI-,20260109,10.34,10.34,9.93,10.17,25800
,AXI-C,20260109,9.07,9.37,9.065,9.2,417500
,AXIA,20260109,9.67,9.755,9.58,9.61,2316300
American Axle & Manufacturing,AXL,20260109,7.5,7.86,7.3,7.83,4440100
American Express Company,AXP,20260109,383,384.89,373.8317,375.61,2767700
Amrep Corp,AXR,20260109,19.81,21.31,19.695,21.31,6500
Axis Capital Holdings,AXS,20260109,103.33,104.39,102.22,102.34,433800
Axis Capital Holdings Ltd [Axs/Pe],AXS-E,20260109,20.13,20.1562,19.97,20.09,97600
,AXSpE,20260109,20.13,20.1562,19.97,20.09,86396
Axalta Coating Systems Ltd,AXTA,20260109,32.82,33.27,32.79,33.02,2850200
Acuity Inc,AYI,20260109,318,326.68,312.36,325.55,998700
Autozone,AZO,20260109,3303.69,3429,3303.69,3421.17,243400
Azz Inc,AZZ,20260109,117.83,122.69,117.83,122.18,222500
Barrick Mining Corp,B,20260109,47.54,48.5,46.98,47.81,13820500
Boeing Company,BA,20260109,228.34,235.135,228.3,234.53,8621600
Boeing Company,BA-A,20260109,71.86,74.5,71.86,74.33,204000
Alibaba Group Holding ADR,BABA,20260109,151.33,151.57,148.52,150.96,11437900
Bank of America Corp,BAC,20260109,56.17,56.61,55.79,55.85,30768700
Bank of America Corp [Bac/Pb],BAC-B,20260109,25.34,25.347,25.24,25.31,82000
Bank of America Corp [Bac/Pe],BAC-E,20260109,19.69,19.8799,19.69,19.84,26700
Bank of America Corp [Bac/Pk],BAC-K,20260109,24.78,24.82,24.7,24.79,75400
Bank of America Corp [Bac/Pl],BAC-L,20260109,1255.21,1262.5,1247.28,1258.95,8900
Bank of America Corp [Bac/Pm],BAC-M,20260109,22.27,22.45,22.24,22.31,169800
Bank of America Corp Prf Perpetual USD Ser LL D,BAC-N,20260109,20.9,20.96,20.86,20.89,89300
Bank of America Corp,BAC-O,20260109,18.21,18.2515,18.16,18.25,80500
Bank of America Corp,BAC-P,20260109,17.27,17.3,17.21,17.2706,78800
Bank of America Corp,BAC-Q,20260109,17.69,17.77,17.63,17.77,479400
Bank of America Corp,BAC-S,20260109,19.88,19.88,19.76,19.86,44400
,BACpB,20260109,25.34,25.347,25.24,25.33,75413
,BACpE,20260109,19.69,19.8799,19.69,19.84,25030
,BACpK,20260109,24.78,24.82,24.7,24.82,67304
,BACpL,20260109,1255.21,1262.5,1247.28,1257.75,3662
,BACpM,20260109,22.27,22.45,22.24,22.28,158257
,BACpN,20260109,20.9,20.96,20.86,20.9,79419
,BACpO,20260109,18.21,18.2515,18.16,18.25,73889
,BACpP,20260109,17.27,17.3,17.21,17.2706,73836
,BACpQ,20260109,17.69,17.76,17.63,17.74,468695
,BACpS,20260109,19.88,19.88,19.76,19.86,36597
Booz Allen Hamilton Holding Corp,BAH,20260109,93.64,96.2,92.87,96.18,1938800
Braskem S.A. ADR,BAK,20260109,2.98,3.205,2.94,3.08,1796700
Ball Corporation,BALL,20260109,55.25,55.72,54.59,55.62,1711100
Ballys Corporation,BALY,20260109,16.25,16.3,15.55,16.02,58900
Brookfield Asset Management Ltd,BAM,20260109,54.04,54.47,53.34,53.94,1121900
Banc of California Inc 7.75% [Banc/Pf],BAN-F,20260109,25.1,25.3,25.1,25.29,24000
First Pactrust Bancorp,BANC,20260109,20.54,20.615,19.99,20.07,2613800
,BANCpF,20260109,25.1,25.3,25.1,25.3,14884
Credicorp Ltd,BAP,20260109,303.78,305.9,301,302.15,379900
,BApA,20260109,71.86,74.5,71.86,74.38,117974
Bark Inc,BARK,20260109,0.5713,0.6321,0.5632,0.6187,9070800
Baxter International Inc,BAX,20260109,20.9,21.25,20.61,21.07,11530200
Blackberry Ltd,BB,20260109,3.86,3.89,3.815,3.84,5910800
Bigbear.Ai Holdings Inc WT [Bbai.W],BBA.W,20260109,1.78,1.94,1.78,1.8,158400
Bigbear.Ai Holdings Inc,BBAI,20260109,6.24,6.51,6.15,6.2,71382600
,BBAI.WS,20260109,1.81,1.94,1.78,1.8,153858
Bbva Banco Frances S.A.,BBAR,20260109,18.47,19.2,18.41,18.91,482000
Bed Bath Beyond Inc WT [BBby.Ws],BBB.W,20260109,0.79,0.79,0.75,0.767,35300
Bed Bath & Beyond Inc,BBBY,20260109,6.77,7.12,6.57,6.85,2260800
Banco Bradesco S.A. ADR,BBD,20260109,3.49,3.5,3.44,3.44,23495200
